Word,Frequency,Rank
the,132654,1
and,93088,2
of,70835,3
to,47178,4
a,33362,5
in,32803,6
that,26996,7
i,25836,8
he,24451,9
his,21210,10
for,18756,11
was,18059,12
with,17358,13
it,16393,14
not,15834,15
is,15522,16
be,15504,17
as,14284,18
they,12694,19
but,12569,20
all,12358,21
you,11654,22
shall,11621,23
my,10234,24
had,10121,25
have,9930,26
her,9689,27
at,9028,28
from,9005,29
unto,9000,30
she,8504,31
which,8427,32
by,8245,33
this,7936,34
on,7919,35
their,7776,36
him,7054,37
will,6964,38
so,6839,39
said,6772,40
were,6664,41
are,6538,42
thou,6343,43
or,6140,44
when,6123,45
them,5792,46
thy,5599,47
one,5438,48
lord,5061,49
your,4999,50
out,4967,51
there,4967,52
what,4920,53
no,4898,54
if,4889,55
me,4885,56
an,4805,57
we,4687,58
upon,4495,59
ye,4284,60
then,4153,61
into,4075,62
up,4053,63
would,3907,64
who,3867,65
very,3854,66
do,3820,67
man,3604,68
could,3436,69
more,3404,70
now,3372,71
been,3309,72
any,3264,73
like,3206,74
came,3137,75
"him,",3117,76
before,3053,77
little,2906,78
than,2892,79
every,2865,80
come,2806,81
did,2758,82
god,2681,83
some,2680,84
our,2673,85
great,2668,86
these,2647,87
after,2617,88
am,2617,89
made,2577,90
hath,2512,91
should,2504,92
let,2492,93
such,2456,94
may,2418,95
how,2383,96
see,2378,97
even,2367,98
know,2365,99
go,2348,100
against,2303,101
"them,",2292,102
only,2279,103
"said,",2273,104
must,2256,105
over,2248,106
down,2226,107
make,2207,108
about,2205,109
"me,",2192,110
went,2186,111
good,2151,112
two,2139,113
son,2068,114
thee,2058,115
much,2055,116
king,2030,117
own,1975,118
"""i",1924,119
yet,1922,120
other,1899,121
can,1866,122
mr.,1855,123
"lord,",1847,124
might,1845,125
o,1842,126
day,1824,127
children,1822,128
also,1821,129
"you,",1802,130
"it,",1796,131
because,1782,132
old,1780,133
men,1741,134
never,1741,135
time,1730,136
give,1729,137
house,1726,138
nor,1722,139
people,1720,140
take,1718,141
where,1679,142
us,1677,143
shalt,1672,144
say,1664,145
those,1624,146
first,1599,147
being,1595,148
has,1590,149
though,1576,150
put,1568,151
through,1516,152
saw,1511,153
without,1504,154
mrs.,1503,155
most,1479,156
think,1479,157
"thee,",1468,158
him.,1466,159
many,1449,160
"saying,",1427,161
heard,1404,162
among,1398,163
thing,1394,164
hand,1371,165
whom,1361,166
it.,1354,167
long,1350,168
things,1328,169
therefore,1326,170
land,1312,171
away,1291,172
its,1286,173
thus,1267,174
father,1236,175
well,1224,176
took,1223,177
brought,1199,178
hast,1199,179
just,1180,180
saith,1172,181
"god,",1170,182
them.,1148,183
"behold,",1143,184
thought,1143,185
found,1128,186
set,1124,187
still,1121,188
israel,1106,189
way,1103,190
same,1103,191
off,1101,192
under,1097,193
miss,1094,194
nothing,1089,195
three,1088,196
neither,1082,197
young,1081,198
ever,1081,199
while,1075,200
too,1074,201
tell,1063,202
seemed,1045,203
himself,1036,204
called,1030,205
quite,1026,206
round,1006,207
name,998,208
"and,",987,209
till,979,210
last,978,211
hear,976,212
here,976,213
again,974,214
thine,972,215
bring,966,216
soon,962,217
forth,961,218
always,950,219
"man,",945,220
both,944,221
me.,931,222
look,928,223
word,918,224
place,912,225
cried,911,226
gave,907,227
looked,906,228
sent,898,229
sons,895,230
left,880,231
"her,",871,232
done,868,233
according,864,234
eyes,863,235
another,862,236
whole,856,237
face,833,238
stood,832,239
why,828,240
something,825,241
heart,820,242
right,813,243
back,808,244
days,808,245
whose,807,246
far,802,247
head,799,248
mine,795,249
given,794,250
cannot,785,251
jesus,780,252
each,777,253
high,776,254
"say,",774,255
"israel,",773,256
seen,771,257
speak,750,258
rather,748,259
almost,744,260
told,742,261
between,737,262
lord.,736,263
