,Name,Country,City,Address,Ratings,Weekday,StartingHours,StartingMinutes,EndingHours,EndingMinutes
0,1 Abercrombie Lane,AU,Sydney,1 Abercrombie Lane,3.5,4.0,07,30,15,30
1,1 Abercrombie Lane,AU,Sydney,1 Abercrombie Lane,3.5,4.0,07,30,15,30
2,#1 Chicken Rice & Seafood,US,Houston,4621 Almeda Rd,4.0,5.0,10,30,20,00
3,#1 Chicken Rice & Seafood,US,Houston,4621 Almeda Rd,4.0,5.0,10,30,20,00
4,#1 Chinese Kitchen,US,San Jose,5585 Snell Ave,4.0,6.0,11,00,21,00
5,#1 Chinese Kitchen,US,San Jose,5585 Snell Ave,4.0,6.0,11,00,21,00
6,10' Custom Pizzeria,AU,Braddon,16 Lonsdale St,4.5,6.0,17,30,00,00
7,10' Custom Pizzeria,AU,Braddon,16 Lonsdale St,4.5,6.0,17,30,00,00
8,10' Custom Pizzeria,AU,Braddon,16 Lonsdale St,4.5,6.0,17,30,00,00
9,10' Custom Pizzeria,AU,Braddon,16 Lonsdale St,4.5,6.0,17,30,00,00
10,10 Greek Street,GB,London,10 Greek Street,4.5,6.0,17,30,23,00
11,10 Greek Street,GB,London,10 Greek Street,4.5,6.0,17,30,23,00
12,10 Greek Street,GB,London,10 Greek Street,4.5,6.0,17,30,23,00
13,10 Greek Street,GB,London,10 Greek Street,4.5,6.0,17,30,23,00
14,100% de Agave,US,Denver,975 Lincoln St,4.0,6.0,11,00,22,00
15,100% de Agave,US,Denver,975 Lincoln St,4.0,6.0,11,00,22,00
16,100 Hoxton,GB,London,100-102 Hoxton Street,4.5,6.0,11,00,00,00
17,100 Hoxton,GB,London,100-102 Hoxton Street,4.5,6.0,11,00,00,00
18,100 Hoxton,GB,London,100-102 Hoxton Street,4.5,6.0,11,00,00,00
19,100 Hoxton,GB,London,100-102 Hoxton Street,4.5,6.0,11,00,00,00
20,11 Inch Pizza,AU,Melbourne,Equitable Place,4.0,6.0,16,30,21,30
21,11 Inch Pizza,AU,Melbourne,Equitable Place,4.0,6.0,16,30,21,30
22,111 by Nico,GB,Glasgow,111 Cleveden Road,5.0,6.0,12,00,21,00
23,111 by Nico,GB,Glasgow,111 Cleveden Road,5.0,6.0,12,00,21,00
24,127 Bar and Bistro,AU,Brisbane,127 Charlotte St,4.5,6.0,07,00,11,00
25,127 Bar and Bistro,AU,Brisbane,127 Charlotte St,4.5,6.0,07,00,11,00
26,13 North Grille,US,Phoenix,1301 E Northern Ave,4.0,6.0,08,30,21,00
27,13 North Grille,US,Phoenix,1301 E Northern Ave,4.0,6.0,08,30,21,00
28,13th Note,GB,Glasgow,50-60 King Street,4.0,6.0,12,00,00,00
29,13th Note,GB,Glasgow,50-60 King Street,4.0,6.0,12,00,00,00
30,140 Perth,AU,Perth,140 William St,4.5,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
31,140 Perth,AU,Perth,140 William St,4.5,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
32,1428 HAIGHT Patio Cafe & Crepery,US,San Francisco,1428 Haight St,4.0,6,08,00,22,00
33,1428 HAIGHT Patio Cafe & Crepery,US,San Francisco,1428 Haight St,4.0,6,08,00,22,00
34,1428 HAIGHT Patio Cafe & Crepery,US,San Francisco,1428 Haight St,4.0,6,08,00,22,00
35,1428 HAIGHT Patio Cafe & Crepery,US,San Francisco,1428 Haight St,4.0,6,08,00,22,00
36,163 Vietnamese Sandwiches & Bubble Tea,US,Boston,66 Harrison Ave,3.5,6,07,30,19,30
37,163 Vietnamese Sandwiches & Bubble Tea,US,Boston,66 Harrison Ave,3.5,6,07,30,19,30
38,1760,US,San Francisco,1760 Polk St,4.0,6,17,00,22,00
39,1760,US,San Francisco,1760 Polk St,4.0,6,17,00,22,00
40,1806,AU,Melbourne,169 Exhibition St,4.0,6,18,00,01,00
41,1806,AU,Melbourne,169 Exhibition St,4.0,6,18,00,01,00
42,1806,AU,Melbourne,169 Exhibition St,4.0,6,18,00,01,00
43,1806,AU,Melbourne,169 Exhibition St,4.0,6,18,00,01,00
44,1907 Restaurant,AU,Perth,26 Queen St,4.0,5,18,00,00,00
45,1907 Restaurant,AU,Perth,26 Queen St,4.0,5,18,00,00,00
46,1912 Dining Bar,AU,Sydney,27-33 Goulburn St,4.0,5,16,00,00,00
47,1912 Dining Bar,AU,Sydney,27-33 Goulburn St,4.0,5,16,00,00,00
48,1917 American Bistro,US,Detroit,19416 Livernois Ave,3.0,6,10,00,20,00
49,1917 American Bistro,US,Detroit,19416 Livernois Ave,3.0,6,10,00,20,00
50,1917 American Bistro,US,Detroit,19416 Livernois Ave,3.0,6,10,00,20,00
51,1917 American Bistro,US,Detroit,19416 Livernois Ave,3.0,6,10,00,20,00
52,1917 American Bistro,US,Detroit,19416 Livernois Ave,3.0,6,10,00,20,00
53,1917 American Bistro,US,Detroit,19416 Livernois Ave,3.0,6,10,00,20,00
54,2 Amys Neapolitan Pizzeria,US,Washington,3715 Macomb St NW,4.0,6,12,00,22,00
55,2 Amys Neapolitan Pizzeria,US,Washington,3715 Macomb St NW,4.0,6,12,00,22,00
56,2 Amys Neapolitan Pizzeria,US,Washington,3715 Macomb St NW,4.0,6,12,00,22,00
57,2 Amys Neapolitan Pizzeria,US,Washington,3715 Macomb St NW,4.0,6,12,00,22,00
58,2 Yummy,AU,Belconnen,"Shop 3, 114 Boardwalk Emu Bank",5.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
