Origin_desc,Total_Scheduled_Departure,Canceled_Flights,Operated-Flights
Aberdeen Regional Airport,671,8,663
Abilene Regional Airport,2329,97,2232
Abraham Lincoln Capital Airport,1587,65,1522
Adak Airport,96,7,89
Akron-Canton Regional Airport,6100,100,6000
Albany International Airport,7459,118,7341
Albert J. Ellis Airport,1136,15,1121
Albuquerque International Sunport,19192,212,18980
Alexandria International Airport,3146,86,3060
Alpena County Regional Airport,573,26,547
Appleton International Airport,2848,83,2765
Arcata Airport,1320,51,1269
Arnold Palmer Regional Airport,1281,36,1245
Asheville Regional Airport,2745,61,2684
Aspen-Pitkin County Airport,3562,276,3286
Atlantic City International Airport,3572,40,3532
Augusta Regional Airport (Bush Field),2361,15,2346
Austin-Bergstrom International Airport,42067,578,41489
Baltimore-Washington International Airport,86079,1533,84546
Bangor International Airport,366,3,363
Barkley Regional Airport,666,44,622
Barnstable Municipal Airport,83,1,82
Baton Rouge Metropolitan Airport,7166,163,7003
Bellingham International Airport,711,3,708
Bemidji Regional Airport,667,3,664
Bert Mooney Airport,667,19,648
Bethel Airport,896,16,880
Bill and Hillary Clinton National Airport (Adams Field),10422,267,10155
Billings Logan International Airport,2866,13,2853
Birmingham-Shuttlesworth International Airport,12514,181,12333
Bishop International Airport,4746,109,4637
Bismarck Municipal Airport,3453,60,3393
Blue Grass Airport,5979,170,5809
Bob Hope Airport (Hollywood Burbank Airport),18889,315,18574
Boise Airport (Boise Air Terminal),11655,101,11554
Bozeman Yellowstone International Airport (Gallatin Field Airport),3604,39,3565
Bradley International Airport,18799,362,18437
Brainerd Lakes Regional Airport,589,7,582
Brownsville/South Padre Island International Airport,2362,97,2265
Brunswick Golden Isles Airport,878,9,869
Buffalo Niagara International Airport,16824,317,16507
Burlington International Airport,2978,89,2889
Canyonlands Field,206,1,205
Capital Region International Airport ( Lansing Capital City),1849,47,1802
Cedar City Regional Airport,573,1,572
Central Illinois Regional Airport at Bloomington-Normal,2730,104,2626
Central Nebraska Regional Airport,634,23,611
Central Wisconsin Airport,1420,56,1364
Charleston International Airport/Charleston AFB,11817,234,11583
Charlotte Douglas International Airport,100324,1081,99243
Charlottesville-Albemarle Airport,2204,100,2104
Chattanooga Metropolitan Airport (Lovell Field),4202,70,4132
Cherry Capital Airport,2756,92,2664
Chicago Midway International Airport,80886,1959,78927
Chicago O'Hare International Airport,285884,8548,277336
Chippewa County International Airport,613,16,597
Chippewa Valley Regional Airport,668,33,635
Cincinnati/Northern Kentucky International Airport,20031,508,19523
City of Colorado Springs Municipal Airport,6881,116,6765
Cleveland Hopkins International Airport,34589,734,33855
Coastal Carolina Regional Airport (Craven County Regional),575,8,567
Columbia Metropolitan Airport,5151,94,5057
Columbia Regional Airport,1308,64,1244
Columbus Metropolitan Airport,1068,7,1061
Corpus Christi International Airport,4888,151,4737
Cyril E. King Airport,4348,49,4299
Dallas Love Field,59699,850,58849
Dallas/Fort Worth International Airport,239551,6254,233297
Dane County Regional Airport,9135,284,8851
Daytona Beach International Airport,1494,4,1490
Deadhorse Airport (Prudhoe Bay Airport),855,18,837
Del Norte County Airport (Jack McNamara Field),190,16,174
Delta County Airport,573,17,556
Denver International Airport,196055,2123,193932
Des Moines International Airport,8385,255,8130
Destin-Fort Walton Beach Airport/Eglin AFB,4868,99,4769
Detroit Metropolitan Airport,108500,1270,107230
Devils Lake Regional Airport,525,46,479
Dickinson Theodore Roosevelt Regional Airport,938,17,921
Dillingham Airport,77,0,77
Dothan Regional Airport,1260,17,1243
Dubuque Regional Airport,928,58,870
Duluth International Airport,1719,52,1667
Durango-La Plata County Airport,2068,44,2024
Eagle County Regional Airport,1241,37,1204
East Texas Regional Airport,643,28,615
Easterwood Airport,2311,109,2202
El Paso International Airport,11972,132,11840
Elko Regional Airport,531,14,517
Elmira/Corning Regional Airport,2051,40,2011
Eppley Airfield,16753,263,16490
Erie International Airport,746,36,710
Eugene Airport (Mahlon Sweet Field),3632,67,3565
Evansville Regional Airport,3834,120,3714
Fairbanks International Airport,2183,10,2173
Falls International Airport,574,9,565
Fayetteville Regional Airport,1633,15,1618
Flagstaff Pulliam Airport,1660,50,1610
Ford Airport,620,11,609
Fort Lauderdale-Hollywood International Airport,73624,794,72830
Fort Smith Regional Airport,1971,58,1913
Fort Wayne International Airport,5261,171,5090
Fresno Yosemite International Airport,7018,67,6951
Friedman Memorial Airport,956,88,868
Gainesville Regional Airport,2683,39,2644
Garden City Regional Airport,663,25,638
Gen. Edward Lawrence Logan International Airport,107847,2654,105193
General Mitchell International Airport,29825,577,29248
